"time","area","vote1","vote2","vote3","vote4","vote5","vote6","vote7","open"
"2014-11-29 18:54:34",4,313333,413863,0,0,0,0,0,824
"2014-11-29 18:54:44",4,313333,413863,0,0,0,0,0,824
"2014-11-29 18:55:44",4,313333,413863,0,0,0,0,0,824
"2014-11-29 18:56:34",4,330073,436161,0,0,0,0,0,862
"2014-11-29 18:57:34",4,330073,436161,0,0,0,0,0,862
"2014-11-29 18:58:04",4,330073,436161,0,0,0,0,0,862
"2014-11-29 18:58:34",4,330073,436161,0,0,0,0,0,862
"2014-11-29 18:59:05",4,346972,458213,0,0,0,0,0,901
"2014-11-29 18:59:34",4,346972,458213,0,0,0,0,0,901
"2014-11-29 19:00:34",4,346972,458213,0,0,0,0,0,901
"2014-11-29 19:02:28",4,364891,482602,0,0,0,0,0,941
"2014-11-29 19:05:34",4,380054,502293,0,0,0,0,0,976
"2014-11-29 19:07:11",4,380054,502293,0,0,0,0,0,976
"2014-11-29 19:09:34",4,391677,518706,0,0,0,0,0,1003
"2014-11-29 19:09:53",4,391677,518706,0,0,0,0,0,1003
"2014-11-29 19:13:34",4,408541,540886,0,0,0,0,0,1040
"2014-11-29 19:15:34",4,425595,563762,0,0,0,0,0,1080
"2014-11-29 19:15:58",4,425595,563762,0,0,0,0,0,1080
"2014-11-29 19:18:34",4,441445,586245,0,0,0,0,0,1119
"2014-11-29 19:19:21",4,441445,586245,0,0,0,0,0,1119
"2014-11-29 19:22:34",4,456374,606679,0,0,0,0,0,1153
"2014-11-29 19:24:04",4,471076,624895,0,0,0,0,0,1186
"2014-11-29 19:29:34",4,490865,653216,0,0,0,0,0,1231
"2014-11-29 19:31:31",4,490865,653216,0,0,0,0,0,1231
"2014-11-29 19:31:34",4,490865,653216,0,0,0,0,0,1231
"2014-11-29 19:40:31",4,534911,709127,0,0,0,0,0,1322
"2014-11-29 19:41:31",4,545917,723905,0,0,0,0,0,1345
"2014-11-29 19:52:34",4,571724,759514,0,0,0,0,0,1400
"2014-11-29 19:54:42",4,578088,768911,0,0,0,0,0,1414
"2014-11-29 20:01:27",4,593037,789894,0,0,0,0,0,1445
"2014-11-29 20:05:34",4,600760,800793,0,0,0,0,0,1462
"2014-11-29 20:08:33",4,607754,809722,0,0,0,0,0,1477
"2014-11-29 20:08:34",4,607754,809722,0,0,0,0,0,1477
"2014-11-29 20:09:34",4,607754,809722,0,0,0,0,0,1477
"2014-11-29 20:09:54",4,607754,809722,0,0,0,0,0,1477
"2014-11-29 20:10:34",4,607754,809722,0,0,0,0,0,1477
"2014-11-29 20:11:34",4,613407,818007,0,0,0,0,0,1488
"2014-11-29 20:12:34",4,613407,818007,0,0,0,0,0,1488
"2014-11-29 20:13:34",4,613407,818007,0,0,0,0,0,1488
"2014-11-29 20:14:34",4,614978,820137,0,0,0,0,0,1491
"2014-11-29 20:16:34",4,614978,820137,0,0,0,0,0,1491
"2014-11-29 20:19:34",4,617077,822577,0,0,0,0,0,1495
"2014-11-29 20:21:34",4,619228,825975,0,0,0,0,0,1499
"2014-11-29 20:22:34",4,619228,825975,0,0,0,0,0,1499
"2014-11-29 20:23:34",4,619228,825975,0,0,0,0,0,1499
"2014-11-29 20:24:34",4,619228,825975,0,0,0,0,0,1499
"2014-11-29 20:28:34",4,620741,827763,0,0,0,0,0,1502
"2014-11-29 20:32:34",4,625581,833435,0,0,0,0,0,1512
"2014-11-29 20:33:34",4,625581,833435,0,0,0,0,0,1512
"2014-11-29 20:34:34",4,625581,833435,0,0,0,0,0,1512
"2014-11-29 20:35:34",4,626683,834611,0,0,0,0,0,1514
"2014-11-29 20:36:38",4,626683,834611,0,0,0,0,0,1514
"2014-11-29 20:39:40",4,627629,835539,0,0,0,0,0,1516
"2014-11-29 20:40:41",4,627629,835539,0,0,0,0,0,1516
"2014-11-29 20:41:34",4,629109,837552,0,0,0,0,0,1519
"2014-11-29 20:41:42",4,629109,837552,0,0,0,0,0,1519
"2014-11-29 20:42:34",4,629109,837552,0,0,0,0,0,1519
"2014-11-29 20:42:43",4,629109,837552,0,0,0,0,0,1519
"2014-11-29 20:43:34",4,629109,837552,0,0,0,0,0,1519
"2014-11-29 20:43:44",4,629109,837552,0,0,0,0,0,1519
"2014-11-29 20:44:45",4,631628,840488,0,0,0,0,0,1524
"2014-11-29 20:45:46",4,631628,840488,0,0,0,0,0,1524
"2014-11-29 20:46:34",4,631628,840488,0,0,0,0,0,1524
"2014-11-29 20:46:47",4,631628,840488,0,0,0,0,0,1524
"2014-11-29 20:47:34",4,632047,841105,0,0,0,0,0,1525
"2014-11-29 20:47:48",4,632047,841105,0,0,0,0,0,1525
"2014-11-29 20:48:34",4,632047,841105,0,0,0,0,0,1525
"2014-11-29 20:48:49",4,632047,841105,0,0,0,0,0,1525
"2014-11-29 20:49:50",4,632047,841105,0,0,0,0,0,1525
"2014-11-29 20:50:34",4,632599,841609,0,0,0,0,0,1526
"2014-11-29 20:50:51",4,632599,841609,0,0,0,0,0,1526
"2014-11-29 20:51:34",4,632599,841609,0,0,0,0,0,1526
"2014-11-29 20:51:52",4,632599,841609,0,0,0,0,0,1526
"2014-11-29 20:52:34",4,632599,841609,0,0,0,0,0,1526
"2014-11-29 20:52:53",4,632599,841609,0,0,0,0,0,1526
"2014-11-29 20:53:34",4,633105,842100,0,0,0,0,0,1527
"2014-11-29 20:53:54",4,633105,842100,0,0,0,0,0,1527
"2014-11-29 20:54:34",4,633105,842100,0,0,0,0,0,1527
"2014-11-29 20:54:55",4,633105,842100,0,0,0,0,0,1527
"2014-11-29 20:55:34",4,633105,842100,0,0,0,0,0,1527
"2014-11-29 20:55:56",4,633105,842100,0,0,0,0,0,1527
"2014-11-29 20:56:34",4,633105,842100,0,0,0,0,0,1527
"2014-11-29 20:56:57",4,633105,842100,0,0,0,0,0,1527
"2014-11-29 20:57:34",4,633105,842100,0,0,0,0,0,1527
"2014-11-29 20:57:58",4,633105,842100,0,0,0,0,0,1527
"2014-11-29 20:58:34",4,633105,842100,0,0,0,0,0,1527
"2014-11-29 20:58:59",4,633865,843244,0,0,0,0,0,1529
"2014-11-29 20:59:34",4,633865,843244,0,0,0,0,0,1529
"2014-11-29 21:00:00",4,633865,843244,0,0,0,0,0,1529
"2014-11-29 21:00:34",4,633865,843244,0,0,0,0,0,1529
"2014-11-29 21:01:01",4,633865,843244,0,0,0,0,0,1529
"2014-11-29 21:01:34",4,633865,843244,0,0,0,0,0,1529
"2014-11-29 21:02:02",4,634340,843731,0,0,0,0,0,1530
"2014-11-29 21:02:34",4,634340,843731,0,0,0,0,0,1530
"2014-11-29 21:03:03",4,634340,843731,0,0,0,0,0,1530
"2014-11-29 21:03:34",4,634340,843731,0,0,0,0,0,1530
"2014-11-29 21:04:04",4,634340,843731,0,0,0,0,0,1530
"2014-11-29 21:04:34",4,634340,843731,0,0,0,0,0,1530
"2014-11-29 21:05:05",4,634340,843731,0,0,0,0,0,1530
"2014-11-29 21:05:34",4,634340,843731,0,0,0,0,0,1530
"2014-11-29 21:06:06",4,634340,843731,0,0,0,0,0,1530
"2014-11-29 21:06:34",4,634340,843731,0,0,0,0,0,1530
"2014-11-29 21:07:07",4,634340,843731,0,0,0,0,0,1530
"2014-11-29 21:07:34",4,634340,843731,0,0,0,0,0,1530
"2014-11-29 21:08:08",4,634340,843731,0,0,0,0,0,1530
"2014-11-29 21:08:34",4,634340,843731,0,0,0,0,0,1530
"2014-11-29 21:09:09",4,634340,843731,0,0,0,0,0,1530
"2014-11-29 21:09:34",4,634340,843731,0,0,0,0,0,1530
"2014-11-29 21:10:10",4,634340,843731,0,0,0,0,0,1530
"2014-11-29 21:10:34",4,634340,843731,0,0,0,0,0,1530
"2014-11-29 21:11:11",4,634778,844340,0,0,0,0,0,1531
"2014-11-29 21:11:34",4,634778,844340,0,0,0,0,0,1531
"2014-11-29 21:12:12",4,634778,844340,0,0,0,0,0,1531
"2014-11-29 21:12:34",4,634778,844340,0,0,0,0,0,1531
"2014-11-29 21:13:34",4,634778,844340,0,0,0,0,0,1531
"2014-11-29 21:14:34",4,635316,844903,0,0,0,0,0,1532
"2014-11-29 21:15:34",4,635316,844903,0,0,0,0,0,1532
"2014-11-29 21:16:34",4,635316,844903,0,0,0,0,0,1532
"2014-11-29 21:17:17",4,636448,846061,0,0,0,0,0,1534
"2014-11-29 21:17:34",4,636448,846061,0,0,0,0,0,1534
"2014-11-29 21:18:34",4,636448,846061,0,0,0,0,0,1534
"2014-11-29 21:19:19",4,636448,846061,0,0,0,0,0,1534
"2014-11-29 21:19:34",4,636448,846061,0,0,0,0,0,1534
"2014-11-29 21:20:34",4,636448,846061,0,0,0,0,0,1534
"2014-11-29 21:21:21",4,636448,846061,0,0,0,0,0,1534
"2014-11-29 21:21:34",4,636448,846061,0,0,0,0,0,1534
"2014-11-29 21:22:34",4,636448,846061,0,0,0,0,0,1534
"2014-11-29 21:23:34",4,636448,846061,0,0,0,0,0,1534
"2014-11-29 21:24:24",4,636448,846061,0,0,0,0,0,1534
"2014-11-29 21:24:34",4,636448,846061,0,0,0,0,0,1534
"2014-11-29 21:25:25",4,636448,846061,0,0,0,0,0,1534
"2014-11-29 21:25:34",4,636448,846061,0,0,0,0,0,1534
"2014-11-29 21:26:26",4,636995,846956,0,0,0,0,0,1535
"2014-11-29 21:26:34",4,636995,846956,0,0,0,0,0,1535
"2014-11-29 21:27:34",4,636995,846956,0,0,0,0,0,1535
"2014-11-29 21:28:34",4,636995,846956,0,0,0,0,0,1535
"2014-11-29 21:29:34",4,636995,846956,0,0,0,0,0,1535
"2014-11-29 21:30:34",4,636995,846956,0,0,0,0,0,1535
